utterance_id	transcript	asr_transcript
BU01a-BNT01-house	HH AW S	HH AW S
BU01a-BNT02-comb	K OW M	K OW M
BU01a-BNT03-toothbrush	T UW TH B R AH SH	T UW TH B R AH SH
BU01a-BNT04-octopus	AA K T AH P UH S	AA K T T T AH P UH S
BU01a-BNT05-bench	B EH N CH	B EH N CH
BU01a-BNT06-volcano	K AA L G EY N OW	V AA L K EY N OW
BU01a-BNT07-canoe	K AH N UW	K AH N UW
BU01a-BNT08-beaver	W UH D CH AH K	M UW CH AH K
BU01a-BNT09-cactus	K AE S T IH K	K AE S T IH K
BU01a-BNT10-hammock	HH AE M AH K	HH AE M AH K
BU01a-BNT11-stethoscope	S K OW P	S K OW P
BU01a-BNT12-unicorn	IH N D AH K OY N	Y UW N D IH K AO R N
BU01a-BNT13-tripod	T R AY P AA D	R AY IH NG P AA D
BU01a-BNT14-sphinx	S IH NG K S	F IH NG K S
BU01a-BNT15-palette	P AE L AH T	HH AW S
BU01a-VNT01-cut	JH EH L EY JH EH N AH L M AH N IH Z AH HH IY Z K AH DX IH NG AH M P EY P ER AA N DH IY S IH Z ER Z	JH EH N AH L M AH AH JH EH N AH L M AH N IH Z AH HH IY Z K AH DX IH NG AH P EY P ER AA N DH IY S IH Z ER
BU01a-VNT02-bark	DH EY G AY IH Z B AA R K IH NG HH IH Z N OW AE T DH AH D AA G	DH AH G AY Z B AA R K IH NG IH Z AE AH DH AH D AA G
BU01a-VNT03-put	HH IY IH Z AH P UH DX IH NG EY B AA K S IH N T AH DH AH SH EH L F	HH IY IH Z AH HH IH V IY N EY B AA K S IH N T UW DH AH SH EH L F
BU01a-VNT04-send	AH DH AH G AY Z G IH V IH NG V AE L AH N T AY N Z T UW HH IH Z S W IY T HH AA R T	AH DH AH G AY Z G IH V IH NG B AE L AH N T AY M S T UW DH IH S IY
BU01a-VNT05-drive	AH M G AY IH Z D R AY V IH NG D R AY V IH NG HH IH Z K AA R	AH M R AY HH IY Z D R AY V IH NG D R AY V IH NG HH IH Z K AA P
BU01a-VNT06-wash	HH IY Z AH <sil> HH IY Z W AA SH IH NG DH AH DH AH W EH L HH IY Z W AA SH IH NG HH IY Z W AA SH IH NG DH AH	HH IY Z AH HH IY Z W AA SH IH NG DH AH EY AH AH SH IY Z W AA SH IH NG HH IH Z W AA SH IH NG DH AH
BU01a-VNT07-read	AH HH IY Z AH R IY S AY DX IH NG AH B UH K <sil> R AY DX IH NG AO R R IY S AY DX IH NG EY B UH K	AA HH IY Z AH HH IY S AY DX IH NG AH B UH K <sil> R AY D IH NG AO R HH IY S AY DX IH NG EY B AH
BU01a-VNT08-laugh	AH M HH IY Z L AE F IH NG HH IY Z L UH K AH N L AE F AH N L AE F IH NG	AH M HH IY Z L AE F IH NG HH IY Z L AY K IH HH AE P IY
BU01a-VNT09-watch	HH IY Z W AA CH IH NG T IY V IY <sil> DH EY D AA G IH Z W AA CH IH NG DH AH T IY V IY	HH IY Z W AA CH IH NG T IY V IY DH AH D AO G IH Z W AA CH IH NG DH AH T IH S IY
BU01a-VNT10-give	AH M DH AH DH IY W UH M AH N IH Z G IH V IH NG EY G IH F T T UW DH AH S AH N M EY B IY	AH M DH AH DH IY W UH M AH N IH Z G IH V IH NG AH G IH F T T UW AH S AH M EY
BU01a-VNT11-swim	AH S W IH M IH NG	AH S W IH M IH NG
